Timestamp,Webcam_1_Average,Webcam_2_Average
0.0,0.6363636363636364,0.7638888888888888
0.03333333333333333,1.009090909090909,0.0
0.06666666666666667,1.0,0.0
0.1,0.11818181818181818,0.0
0.13333333333333333,0.10909090909090909,0.0
0.16666666666666666,0.14545454545454545,0.027777777777777776
0.2,0.05454545454545454,0.027777777777777776
0.23333333333333334,0.05454545454545454,0.027777777777777776
0.26666666666666666,0.02727272727272727,0.3611111111111111
0.3,0.02727272727272727,0.3472222222222222
0.3333333333333333,0.0,0.027777777777777776
0.36666666666666664,0.0,0.0
0.4,0.0,0.027777777777777776
0.43333333333333335,0.7,0.027777777777777776
0.4666666666666667,0.7,0.0
0.5,0.0,0.0
0.5333333333333333,0.0,0.0
0.5666666666666667,0.0,0.0
0.6,0.0,0.0
0.6333333333333333,0.0,0.18055555555555555
0.6666666666666666,0.0,0.18055555555555555
0.7,0.05454545454545454,0.18055555555555555
0.7333333333333333,0.05454545454545454,0.18055555555555555
0.7666666666666667,0.05454545454545454,0.16666666666666666
0.8,0.05454545454545454,0.16666666666666666
0.8333333333333334,0.09090909090909091,0.2916666666666667
0.8666666666666667,0.09090909090909091,0.2916666666666667
0.9,0.22727272727272727,0.3055555555555556
0.9333333333333333,0.21818181818181817,0.3888888888888889
0.9666666666666667,0.17272727272727273,0.3888888888888889
1.0,0.17272727272727273,0.2638888888888889
1.0333333333333334,0.17272727272727273,0.2638888888888889
1.0666666666666667,0.6727272727272727,0.4027777777777778
1.1,0.6727272727272727,0.4027777777777778
1.1333333333333333,0.14545454545454545,0.4027777777777778
1.1666666666666667,0.05454545454545454,0.1111111111111111
1.2,0.05454545454545454,0.1111111111111111
1.2333333333333334,0.09090909090909091,0.1111111111111111
1.2666666666666666,0.09090909090909091,0.1111111111111111
1.3,0.10909090909090909,0.25
1.3333333333333333,0.10909090909090909,0.06944444444444445
1.3666666666666667,0.509090909090909,0.06944444444444445
1.4,0.509090909090909,0.19444444444444445
1.4333333333333333,0.6,0.19444444444444445
1.4666666666666666,0.6,0.375
1.5,0.38181818181818183,0.375
1.5333333333333334,0.38181818181818183,0.375
1.5666666666666667,0.38181818181818183,0.18055555555555555
1.6,0.5545454545454546,0.4305555555555556
1.6333333333333333,0.41818181818181815,0.4305555555555556
1.6666666666666667,0.41818181818181815,0.3194444444444444
1.7,0.33636363636363636,0.3194444444444444
1.7333333333333334,0.33636363636363636,0.3888888888888889
1.7666666666666666,0.5636363636363636,0.4027777777777778
1.8,0.5636363636363636,0.4027777777777778
1.8333333333333333,0.3090909090909091,0.2361111111111111
1.8666666666666667,0.3090909090909091,0.3472222222222222
1.9,0.01818181818181818,0.3472222222222222
1.9333333333333333,0.01818181818181818,0.3472222222222222
1.9666666666666666,0.12727272727272726,0.25
2.0,0.12727272727272726,0.25
2.033333333333333,0.2545454545454545,0.7222222222222222
2.066666666666667,0.2545454545454545,0.125
2.1,0.5727272727272728,0.125
2.1333333333333333,0.5727272727272728,0.2916666666666667
2.1666666666666665,0.4,0.2916666666666667
2.2,0.45454545454545453,0.4027777777777778
2.2333333333333334,0.4,0.4027777777777778
2.2666666666666666,0.4818181818181818,0.2222222222222222
2.3,0.4818181818181818,0.2222222222222222
2.3333333333333335,0.509090909090909,0.2222222222222222
2.3666666666666667,0.6090909090909091,0.18055555555555555
2.4,0.6090909090909091,0.25
2.433333333333333,0.34545454545454546,0.25
2.466666666666667,0.34545454545454546,0.25
2.5,0.2909090909090909,0.2777777777777778
2.533333333333333,0.2909090909090909,0.25
2.566666666666667,0.2636363636363636,0.25
2.6,0.2636363636363636,0.16666666666666666
2.6333333333333333,0.4,0.16666666666666666
2.6666666666666665,0.4,0.1388888888888889
2.7,0.6818181818181818,0.1388888888888889
2.7333333333333334,0.6818181818181818,0.1388888888888889
2.7666666666666666,0.02727272727272727,0.25
2.8,0.02727272727272727,0.3055555555555556
2.8333333333333335,0.08181818181818182,0.3055555555555556
2.8666666666666667,0.08181818181818182,0.3611111111111111
2.9,0.2636363636363636,0.3611111111111111
2.933333333333333,0.2636363636363636,0.4583333333333333
2.966666666666667,0.7,0.4583333333333333
3.0,0.7,0.375
3.033333333333333,0.7,0.375
3.066666666666667,0.7909090909090909,0.4444444444444444
3.1,0.7909090909090909,0.4444444444444444
3.1333333333333333,0.5,0.4444444444444444
3.1666666666666665,0.21818181818181817,0.4305555555555556
3.2,0.21818181818181817,0.5972222222222222
3.2333333333333334,0.5727272727272728,0.7222222222222222
3.2666666666666666,0.5727272727272728,0.3194444444444444
