Timestamp,Webcam_1_Average,Webcam_2_Average,Webcam_3_Average,Webcam_4_Average
0.0,1.08125,1.3805555555555555,1.072562358276644,0.7063492063492064
0.03333333333333333,0.9375,1.5,1.0,0.7063492063492064
0.06666666666666667,0.9375,1.3583333333333334,1.0226757369614512,0.7447089947089947
0.1,0.6625,1.3583333333333334,1.0226757369614512,0.7447089947089947
0.13333333333333333,0.6625,1.8333333333333333,1.0090702947845804,0.593915343915344
0.16666666666666666,0.81875,1.8,1.0090702947845804,0.4894179894179894
0.2,0.846875,1.2,1.0090702947845804,0.4894179894179894
0.23333333333333334,0.846875,1.2,1.0090702947845804,0.49206349206349204
0.26666666666666666,0.828125,1.2,1.0,0.5211640211640212
0.3,0.828125,1.1666666666666667,1.0090702947845804,0.5158730158730159
0.3333333333333333,1.05625,1.7944444444444445,1.0090702947845804,0.6349206349206349
0.36666666666666664,1.05625,1.7944444444444445,1.0,0.6322751322751323
0.4,1.159375,1.8444444444444446,1.056689342403628,0.582010582010582
0.43333333333333335,1.203125,1.2833333333333334,1.0770975056689343,0.582010582010582
0.4666666666666667,1.196875,1.2833333333333334,1.0770975056689343,0.7182539682539683
0.5,1.16875,1.5944444444444446,1.0090702947845804,0.7182539682539683
0.5333333333333333,0.99375,1.5472222222222223,1.0090702947845804,0.6653439153439153
0.5666666666666667,0.990625,1.5666666666666667,1.0090702947845804,0.6878306878306878
0.6,0.9875,1.1111111111111112,1.1564625850340136,0.6812169312169312
0.6333333333333333,0.96875,1.1111111111111112,1.0657596371882085,0.6812169312169312
0.6666666666666666,0.953125,1.113888888888889,1.1473922902494331,0.6455026455026455
0.7,0.96875,1.113888888888889,1.0702947845804989,0.6455026455026455
0.7333333333333333,1.109375,1.113888888888889,1.0136054421768708,0.5436507936507936
0.7666666666666667,1.109375,1.25,1.0136054421768708,0.5436507936507936
0.8,1.109375,1.1194444444444445,1.0680272108843538,0.6137566137566137
0.8333333333333334,1.15625,1.2638888888888888,1.0861678004535147,0.6137566137566137
0.8666666666666667,1.18125,1.136111111111111,1.0317460317460319,0.58994708994709
0.9,1.134375,1.136111111111111,1.0317460317460319,0.58994708994709
0.9333333333333333,1.3375,1.113888888888889,1.018140589569161,0.6309523809523809
0.9666666666666667,1.34375,1.136111111111111,1.0,0.6653439153439153
1.0,1.34375,1.3027777777777778,1.0680272108843538,0.6653439153439153
1.0333333333333334,0.821875,1.3083333333333333,1.0680272108843538,0.6653439153439153
1.0666666666666667,0.821875,1.288888888888889,1.0680272108843538,0.8267195767195767
1.1,0.953125,1.0611111111111111,1.1224489795918366,0.8267195767195767
1.1333333333333333,1.2375,1.2694444444444444,1.090702947845805,0.7354497354497355
1.1666666666666667,1.2375,1.275,1.1088435374149659,0.7275132275132276
1.2,1.128125,1.2416666666666667,1.0657596371882085,0.7235449735449735
1.2333333333333334,1.215625,1.0833333333333333,1.0657596371882085,0.7235449735449735
1.2666666666666666,0.946875,1.0222222222222221,1.0521541950113378,0.8015873015873016
1.3,1.18125,1.2805555555555554,1.0521541950113378,0.8015873015873016
1.3333333333333333,1.0,1.3,1.0770975056689343,0.9801587301587301
1.3666666666666667,1.0,1.3,1.0,0.9801587301587301
1.4,0.921875,1.2472222222222222,1.0,0.9484126984126984
1.4333333333333333,0.921875,1.2472222222222222,1.0,0.9484126984126984
1.4666666666666666,0.9125,1.3444444444444446,1.1405895691609977,0.8095238095238095
1.5,0.909375,1.3444444444444446,1.1405895691609977,0.8095238095238095
1.5333333333333334,0.909375,1.3444444444444446,1.1405895691609977,0.6746031746031746
1.5666666666666667,0.953125,1.0055555555555555,1.2585034013605443,0.6732804232804233
1.6,0.871875,1.35,1.1768707482993197,0.7447089947089947
